Long,Lat,Date,Cases
-92.3731,34.9697,3/1/20,0
-75.5071,39.3185,3/1/20,0
-114.4788,44.2405,3/1/20,0
-69.3819,44.6939,3/1/20,0
-84.5361,43.3266,3/1/20,0
-89.6787,32.7416,3/1/20,0
-110.4544,46.9219,3/1/20,0
-106.2485,34.8405,3/1/20,0
-99.78399999999999,47.5289,3/1/20,0
-99.4388,44.2998,3/1/20,0
-80.9545,38.4912,3/1/20,0
-107.3025,42.756,3/1/20,0
-122.6413,47.6477,3/1/20,0
-121.9018,38.3105,3/1/20,0
-121.958,37.0454,3/1/20,0
-122.2654,38.5025,3/1/20,0
-119.1391,34.3705,3/1/20,0
-71.8571,42.4097,3/1/20,0
-84.0167,33.9191,3/1/20,0
-84.2279,33.7956,3/1/20,0
-82.7779,37.5455,3/1/20,0
-84.4803,33.4502,3/1/20,0
-94.8521,32.4893,3/1/20,0
-74.124,40.2589,3/1/20,0
-74.8649,40.0712,3/1/20,0
-75.1196,39.9259,3/1/20,0
-74.1285,40.8568,3/1/20,0
-74.2632,40.6976,3/1/20,0
-106.8287,39.6553,3/1/20,0
-105.5943,40.6956,3/1/20,0
-104.3326,39.6203,3/1/20,0
-106.9253,38.5458,3/1/20,0
-88.4016,41.9879,3/1/20,0
-75.2479,41.0458,3/1/20,0
-75.1652,39.9526,3/1/20,0
-76.2859,36.8508,3/1/20,0
-77.09100000000001,38.8816,3/1/20,0
-77.6078,38.2042,3/1/20,0
-77.6536,39.0768,3/1/20,0
-76.8721,38.7849,3/1/20,0
-95.4778,41.3912,3/1/20,0
-80.607,34.2465,3/1/20,0
-111.6661,32.0575,3/1/20,0
-85.355,41.4277,3/1/20,0
-77.2865,39.8522,3/1/20,0
-86.4997,40.0106,3/1/20,0
-89.5498,43.0186,3/1/20,0
-92.3814,44.7509,3/1/20,0
-81.6758,41.4339,3/1/20,0
-111.9522,41.2603,3/1/20,0
-73.4379,41.1954,3/1/20,0
117.2264,31.8257,3/2/20,990
116.4142,40.1824,3/2/20,414
107.874,30.0572,3/2/20,576
117.9874,26.0789,3/2/20,296
103.8343,36.0611,3/2/20,91
113.4244,23.3417,3/2/20,1350
108.7881,23.8298,3/2/20,252
106.8748,26.8154,3/2/20,146
109.7453,19.1959,3/2/20,168
114.5149,38.0428,3/2/20,318
127.7615,47.861999999999995,3/2/20,480
113.61399999999999,33.882020000000004,3/2/20,1272
112.2707,30.9756,3/2/20,67103
111.7088,27.6104,3/2/20,1018
113.9448,44.0935,3/2/20,75
119.455,32.9711,3/2/20,631
115.7221,27.614,3/2/20,935
126.1923,43.6661,3/2/20,93
122.6085,41.2956,3/2/20,122
106.1655,37.2692,3/2/20,74
95.9956,35.7452,3/2/20,18
108.8701,35.1917,3/2/20,245
118.1498,36.3427,3/2/20,758
121.4491,31.201999999999998,3/2/20,337
112.2922,37.5777,3/2/20,133
102.7103,30.6171,3/2/20,538
117.323,39.3054,3/2/20,136
88.0924,31.6927,3/2/20,1
85.2401,41.1129,3/2/20,76
101.48700000000001,24.974,3/2/20,174
120.0934,29.1832,3/2/20,1206
101.0,15.0,3/2/20,43
138.0,36.0,3/2/20,274
-122.3321,47.6062,3/2/20,14
-87.6976,41.7377,3/2/20,4
103.8333,1.2833,3/2/20,108
2.0,47.0,3/2/20,191
84.25,28.1667,3/2/20,1
112.5,2.5,3/2/20,29
-123.1207,49.2827,3/2/20,8
-118.2437,34.0522,3/2/20,1
151.2093,-33.8688,3/2/20,6
144.9631,-37.8136,3/2/20,9
153.4,-28.0167,3/2/20,9
104.9167,11.55,3/2/20,1
81.0,7.0,3/2/20,1
9.0,51.0,3/2/20,159
26.0,64.0,3/2/20,6
54.0,24.0,3/2/20,21
122.0,13.0,3/2/20,3
78.0,21.0,3/2/20,5
12.0,43.0,3/2/20,2036
-3.0,55.0,3/2/20,40
16.0,63.0,3/2/20,15
-4.0,40.0,3/2/20,120
138.6007,-34.9285,3/2/20,3
-120.9876,36.5761,3/2/20,2
4.0,50.8333,3/2/20,8
139.638,35.4437,3/2/20,705
-117.1611,32.7157,3/2/20,2
30.0,26.0,3/2/20,2
139.638,35.4437,3/2/20,0
35.8623,33.8547,3/2/20,13
-123.8695,40.745,3/2/20,1
-121.3542,38.4747,3/2/20,2
44.0,33.0,3/2/20,26
57.0,21.0,3/2/20,6
65.0,33.0,3/2/20,1
50.55,26.0275,3/2/20,49
